timestamp,open_positions,total_pnl_usd,total_pnl_inr,risk_percent,avg_margin_ratio,min_margin_ratio,positions_at_risk,overall_liq_risk,status
2025-10-13T05:28:18.732036,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T05:33:23.450526,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T05:38:27.587464,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T05:43:31.815779,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T05:48:36.795175,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T05:53:40.381911,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T05:58:44.839308,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:03:49.659606,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:08:54.889610,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:14:00.947635,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:19:05.452355,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:24:13.651692,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:29:17.657864,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:36:27.020240,1,0.54,46.10,0.00,1.0000,1.0000,1,low,safe
2025-10-13T06:41:36.463293,1,0.28,23.80,0.00,1.0000,1.0000,1,low,safe
2025-10-13T06:46:45.646263,2,-1.32,-112.40,11.24,1.0000,1.0000,2,low,safe
2025-10-13T06:51:46.779554,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:56:16.398698,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T06:56:50.441221,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:01:22.688617,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:01:54.373361,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:06:26.620470,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:06:58.839593,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:11:30.515858,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:12:02.729833,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:16:34.911237,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:17:06.589947,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:21:38.655479,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:22:10.390231,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:26:42.456307,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:27:14.239732,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:31:46.471211,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:32:18.519441,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:37:05.242718,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:37:21.719699,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:42:09.563056,0,0.00,0.00,0.00,0.0000,0.0000,0,none,safe
2025-10-13T07:48:39.512420,2,-1.87,-158.80,15.88,1.0000,1.0000,2,low,safe
2025-10-13T07:53:44.214934,2,-0.85,-72.40,7.24,1.0000,1.0000,2,low,safe
2025-10-13T08:02:46.064756,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:07:53.512802,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:12:57.661837,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:18:01.583656,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:23:05.647759,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:28:09.658363,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:33:14.479063,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:38:18.592464,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
2025-10-13T08:43:22.754901,3,-1.68,-142.50,14.25,1.0000,1.0000,3,low,safe
